data_as_of,start_date,end_date,group,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,All Ages,1146774.0,12303399,1162844.0,569264.0,22229.0,1760095.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,Under 1 year,519.0,73213,1056.0,95.0,64.0,1541.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,0-17 years,1696.0,130970,2961.0,424.0,509.0,4716.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,1-4 years,285.0,14299,692.0,66.0,177.0,1079.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,5-14 years,509.0,22008,818.0,143.0,219.0,1390.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,15-24 years,3021.0,133459,3175.0,1257.0,206.0,5133.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,18-29 years,7030.0,231382,7038.0,3162.0,329.0,11206.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,25-34 years,12401.0,278680,11706.0,5842.0,464.0,18689.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,30-39 years,19886.0,348041,18395.0,9766.0,644.0,29114.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,35-44 years,30108.0,416477,27301.0,15228.0,797.0,42904.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,40-49 years,46260.0,511478,41105.0,24074.0,1002.0,64168.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,45-54 years,71388.0,709522,64918.0,38149.0,1452.0,99423.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,50-64 years,203071.0,2030691,202077.0,110328.0,4345.0,298620.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,55-64 years,159712.0,1604904,161910.0,86974.0,3450.0,237665.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,65-74 years,256806.0,2509095,272676.0,139386.0,4676.0,394174.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,75-84 years,300162.0,3034906,317267.0,152120.0,5348.0,470076.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,All Sexes,85 years and over,311863.0,3506836,301325.0,130004.0,5376.0,488021.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,All Ages,629728.0,6469164,645490.0,326161.0,10848.0,958520.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,Under 1 year,284.0,40371,586.0,54.0,40.0,854.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,0-17 years,910.0,76420,1601.0,236.0,282.0,2544.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,1-4 years,151.0,8102,341.0,35.0,109.0,563.0
2023-09-27,2020-01-01,2023-09-23T00:00:00.000,By Total,United States,Male,5-14 years,261.0,12850,449.0,83.0,104.0,723.0
